Date,Region,Product,Quantity,Sales,Profit
2023-01-01,North,Tablet,3,2781,784.79
2023-01-02,North,Laptop,5,1450,311.39
2023-01-03,North,Camera,10,3350,364.04
2023-01-04,South,Camera,4,3752,464.19
2023-01-05,North,Headphones,9,4032,1039.95
2023-01-06,West,Laptop,7,4830,849.57
2023-01-07,West,Camera,8,4656,746.07
2023-01-08,East,Laptop,6,5580,1580.11
2023-01-09,North,Laptop,2,530,102.76
2023-01-10,North,Tablet,9,1890,462.2
2023-01-11,East,Laptop,8,3824,548.11
2023-01-12,North,Tablet,4,3124,806.38
2023-01-13,East,Mobile,3,1128,259.48
2023-01-14,West,Laptop,3,726,93.21
2023-01-15,North,Headphones,4,972,134.85
2023-01-16,East,Laptop,6,1332,178.73
2023-01-17,East,Tablet,3,1695,203.55
2023-01-18,East,Tablet,8,4288,1068.87
2023-01-19,South,Mobile,8,6696,1599.89
2023-01-20,North,Camera,9,5022,1202.25
2023-01-21,West,Laptop,2,486,75.46
2023-01-22,South,Mobile,8,2568,631.09
2023-01-23,South,Headphones,5,2115,391.67
2023-01-24,South,Headphones,5,1115,263.57
2023-01-25,South,Camera,1,867,109.93
2023-01-26,South,Mobile,3,2622,425.68
2023-01-27,East,Mobile,10,5070,1042.1
2023-01-28,East,Headphones,10,2350,315.29
2023-01-29,East,Camera,6,4926,570.71
2023-01-30,West,Camera,6,5712,644.8
2023-01-31,South,Camera,5,3120,545.72
2023-02-01,East,Camera,10,6180,896.24
2023-02-02,South,Headphones,3,1398,312.38
2023-02-03,West,Tablet,3,642,134.34
2023-02-04,East,Mobile,4,2612,615.69
2023-02-05,North,Tablet,1,583,77.61
2023-02-06,West,Laptop,9,5661,1641.12
2023-02-07,North,Headphones,4,1540,231.03
2023-02-08,West,Camera,1,450,123.7
2023-02-09,South,Headphones,10,6280,659.65
2023-02-10,South,Mobile,2,1992,473.43
2023-02-11,South,Mobile,6,1626,307.51
2023-02-12,West,Mobile,7,1428,278.75
2023-02-13,East,Laptop,7,5859,1625.55
2023-02-14,North,Camera,4,1480,393.75
2023-02-15,West,Camera,8,5280,641.35
2023-02-16,South,Headphones,4,1340,226.14
2023-02-17,North,Tablet,8,3736,421.23
2023-02-18,East,Mobile,10,8470,1664.2
2023-02-19,South,Mobile,1,366,50.66
2023-02-20,East,Mobile,5,2885,614.7
2023-02-21,North,Mobile,9,8847,2174.79
2023-02-22,South,Mobile,5,2780,562.37
2023-02-23,East,Tablet,6,1632,255.75
2023-02-24,East,Tablet,3,1254,155.97
2023-02-25,South,Mobile,4,832,230.03
2023-02-26,South,Camera,3,2172,342.77
2023-02-27,South,Laptop,9,3051,317.82
2023-02-28,South,Headphones,9,8127,2047.26
2023-03-01,East,Mobile,2,554,127.54
2023-03-02,West,Headphones,2,1784,523.4
2023-03-03,South,Laptop,5,4480,1065.24
2023-03-04,East,Camera,8,4832,638.75
2023-03-05,West,Laptop,3,1893,549.75
2023-03-06,North,Camera,7,4508,555.93
2023-03-07,South,Headphones,9,4698,812.09
2023-03-08,North,Headphones,5,1505,400.17
2023-03-09,South,Mobile,8,7728,1548.06
2023-03-10,East,Headphones,5,2655,419.14
2023-03-11,East,Tablet,10,8830,1250.05
2023-03-12,East,Tablet,9,8901,1048.18
2023-03-13,North,Headphones,3,1008,267.88
2023-03-14,East,Headphones,1,240,30.91
2023-03-15,North,Camera,5,4030,444.41
2023-03-16,North,Camera,3,2817,480.56
2023-03-17,South,Laptop,2,1476,392.61
2023-03-18,West,Camera,1,634,180.19
2023-03-19,West,Laptop,5,1230,293.05
2023-03-20,North,Headphones,6,3276,426.37
2023-03-21,West,Tablet,10,4880,1215.66
2023-03-22,South,Tablet,1,200,33.9
2023-03-23,West,Camera,8,7824,1222.27
2023-03-24,North,Headphones,9,4356,1054.19
2023-03-25,East,Headphones,9,5436,1531.17
2023-03-26,South,Tablet,2,1148,149.12
2023-03-27,West,Mobile,5,2685,765.48
2023-03-28,North,Tablet,1,911,125.9
2023-03-29,South,Mobile,8,1696,311.66
2023-03-30,North,Mobile,6,5202,645.62
2023-03-31,West,Camera,5,4355,823.76
2023-04-01,North,Headphones,3,1056,230.07
2023-04-02,West,Mobile,1,948,194.49
2023-04-03,North,Camera,4,3828,499.48
2023-04-04,East,Camera,4,1308,246.22
2023-04-05,South,Headphones,6,4188,836.48
2023-04-06,South,Headphones,5,1360,246.21
2023-04-07,North,Tablet,4,2200,599.83
2023-04-08,West,Camera,5,4755,1121.66
2023-04-09,West,Mobile,3,1317,181.15
2023-04-10,West,Headphones,8,6056,716.71
